applicant_id,income,loan_amount,employment_length,existing_debt,credit_history_length,prior_defaults,monthly_expenses,savings_balance,credit_utilization,transaction_activity,employment_type,employment_notes
APP-1000,42680.71384412297,17070.699397399654,11.906238913335681,4099.92960905855,20.507985764559216,3,1769.1591731245078,10144.805606373697,0.3433396640698505,23,Self-employed,"Freelance consulting business owner, irregular cash flows"
APP-1001,67533.33384764516,28819.827858571116,0.0,5839.262350236604,5.707173172848,0,2113.7129496042444,2806.323882517429,0.24937255265135772,21,Salaried,"Self-employed freelance writer, highly unstable cash flow"
APP-1002,47845.31977421251,9321.683108867997,23.898644172675514,175.37899440478336,33.600873674156844,0,2536.1171512167825,112663.85537490623,0.2340243021487198,35,Salaried,Regular full-time software developer at stable tech firm
APP-1003,45813.42532393803,17039.795550775136,24.10540436806617,1739.8894562193987,28.437445359702764,0,2703.5470395891425,38760.5528162566,0.4037126981014994,29,Salaried,"Gig worker doing delivery services, fluctuating income"
APP-1004,42354.27387284353,7513.337443316737,0.0,264.91225626606075,2.656757812726193,0,1500.06920649555,10063.076975202164,0.6919122908817182,29,Salaried,"Government officer, highly stable salaried income stream"
APP-1005,31498.89885284004,10565.085271043738,30.286209526388305,2233.681031451081,34.95820488598842,0,1269.1877863260954,65305.2705739713,0.2441274126244754,38,Salaried,"Temporary construction worker, work depends on season"
APP-1006,52913.369037301985,14578.104708780202,4.515686206830142,15121.047517400473,14.01155592551784,0,2717.944476914915,38801.10154188885,0.365146875943394,28,Salaried,Regular full-time software developer at stable tech firm
APP-1007,164687.18575958707,29110.431000796914,10.06285577778123,22066.593682148767,12.515582558598556,2,5089.50866832793,12471.243609160538,0.39616124754809856,20,Salaried,"Government officer, highly stable salaried income stream"
APP-1008,58103.502740525626,18486.016102932026,13.447833326364933,4464.662033132526,15.954912496761,0,3134.0973803940083,42020.81643405623,0.3912631668303607,23,Self-employed,"Business owner of small local cafe, self-employed"
APP-1009,52138.7709001711,22155.87561553296,25.719802470416308,86.87224476274419,34.465469497612816,1,2359.5978892465514,8418.799576089916,0.2155179794660136,45,Salaried,"Senior manager at multinational finance company, stable income"
APP-1010,46397.07978532083,12210.579111924673,27.3459203912696,1102.2239567476774,32.92384605709768,0,2140.295046989391,28352.735004501345,0.3396130686501572,37,Salaried,"Senior manager at multinational finance company, stable income"
APP-1011,137931.26531702143,53702.25699904958,35.602849572225345,10124.020803293019,35.0,0,4120.275148205704,32190.99679893086,0.4459191826700106,34,Salaried,"Government officer, highly stable salaried income stream"
APP-1012,50490.781867635975,20493.54360359573,30.918720788893474,2744.398016713419,33.623048850528,0,1696.9375595296665,55802.943526552706,0.4978455157326095,26,Salaried,"Senior manager at multinational finance company, stable income"
